,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Score
5138,Train Life: A Railway Simulator,"31 Aug, 2021",Simteract,Nacon,"['Simulation', 'Early Access']",55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",0,0,1.0,0.7715280790022296
5139,Type:Rider,"6 Nov, 2013",Ex Nihilo,ARTE France,"['Action', 'Adventure', 'Casual', 'Indie']",18.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",0,0,1.0,0.7629510032634108
5140,PAGUI打鬼,"8 Oct, 2019",padendon,padendon,"['Action', 'Adventure', 'Indie', 'RPG']",74.0,"['English', 'Traditional Chinese', 'Japanese']",1,0,1.0,0.786064171391692
5141,EARTH DEFENSE FORCE: WORLD BROTHERS,"27 May, 2021",YUKE'S,D3 PUBLISHER,['Action'],149.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",1,0,1.0,0.7690411110400656
5142,BloodRayne 2: Terminal Cut,"20 Nov, 2020",Terminal Reality,Ziggurat,['Action'],55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",0,1,1.0,0.781497717765757
5143,SimCasino,"16 Nov, 2021",LVGameDev LLC,LVGameDev LLC,"['Casual', 'Indie', 'Simulation', 'Strategy']",92.95,"['English', 'French', 'German', 'Spanish - Spain', 'Dutch', 'Turkish']",1,0,1.0,0.7683833365209822
5144,The Shivah,"21 Nov, 2013",,Wadjet Eye Games,"['Adventure', 'Indie']",18.5,['English'],0,0,1.0,0.7737698438534356
5145,Septerra Core,"31 Oct, 1999",,Topware Interactive,['RPG'],18.5,"['English', 'German']",1,0,1.0,0.7198905018658361
5146,Narita Boy,"30 Mar, 2021",Studio Koba,Team17,"['Adventure', 'Indie']",92.95,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",1,1,1.0,0.7671409137346324
5147,Virtual Pool 4,"11 May, 2015",Celeris,Celeris,['Sports'],92.95,['English'],0,0,1.0,0.7821386911442393
5148,Pamali: Indonesian Folklore Horror,"27 Dec, 2018",StoryTale Studios,StoryTale Studios,"['Adventure', 'Indie']",17.99,"['English', 'Simplified Chinese', 'Traditional Chinese']",1,1,1.0,0.7925204142837774
5149,Cultures - Northland,"26 Mar, 2015",Funatics Software,Daedalic Entertainment,['Strategy'],18.5,"['English', 'German']",0,0,1.0,0.7727949604890179
5150,Loren The Amazon Princess,"15 Jan, 2014",Winter Wolves,Winter Wolves,"['Indie', 'RPG']",73.95,['English'],1,1,1.0,0.7687362634582288
5151,Broken Armor,"1 Aug, 2016",Jonathan Tindell,Wastebasket Games,"['Action', 'Indie']",3.5,['English'],0,0,1.0,0.766500414303891
5152,Avadon: The Black Fortress,"17 Aug, 2011",Spiderweb Software,Spiderweb Software,"['RPG', 'Indie']",36.95,['English'],0,0,1.0,0.7700150152785099
5153,Aurora,"18 Nov, 2020",BambuseaeGames,BambuseaeGames,"['Casual', 'Indie']",3.5,"['English', 'French', 'German', 'Spanish - Spain', 'Ukrainian', 'Russian', 'Turkish', 'Japanese', 'Thai', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese', 'Korean']",1,1,1.0,0.7723193149911397
5154,异变战区  E.E.R.I.E,"12 Jun, 2021",Ureasoft,Ureasoft,"['Action', 'Adventure', 'Indie', 'RPG']",55.95,"['English', 'Simplified Chinese']",0,1,1.0,0.7678048386513512
5155,Tunche,"2 Nov, 2021",LEAP Game Studios,HypeTrain Digital,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",73.95,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",1,0,1.0,0.7727708879576318
5156,8-Bit Invaders!,"16 Dec, 2016",Petroglyph,Petroglyph,"['Indie', 'Simulation', 'Strategy']",55.95,"['English', 'French', 'German', 'Hungarian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Italian', 'Spanish - Spain', 'Arabic', 'Dutch', 'Romanian', 'Turkish']",1,0,1.0,0.7718520936877679
5157,Sparc,"16 Nov, 2017",CCP,CCP,"['Action', 'Indie', 'Sports']",69.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",0,0,0.0,0.7550413356264788
5158,HeXen II,"27 Mar, 1998",Raven Software,id Software,['Action'],19.99,['English'],0,0,1.0,0.7765650026099293
5159,Act of War: High Treason,"30 May, 2006",Eugen Systems,THQ Nordic,['Action'],10.95,['English'],0,0,1.0,0.7669897363370796
5160,SUMETRICK,"26 Jan, 2018",Paleno Games,Paleno Games,"['Casual', 'Indie']",3.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",1,0,1.0,0.7583549612858187
5161,Summoner,"19 Mar, 2001",Volition,THQ Nordic,"['Action', 'RPG']",18.5,"['English', 'German']",0,0,1.0,0.7682061658815565
5162,Sakura Succubus,"31 Mar, 2020",Winged Cloud,Winged Cloud,"['Casual', 'Simulation']",36.95,"['English', 'Simplified Chinese']",0,1,1.0,0.7701794292396962
5163,This Strange Realm Of Mine,"19 Jul, 2017",Doomster Entertainment,Doomster Entertainment,"['Action', 'Adventure', 'Indie']",47.95,['English'],1,0,1.0,0.7731486136402888
5164,Windlands 2,"15 Nov, 2018",Psytec Games Ltd,Psytec Games Ltd,"['Action', 'Adventure', 'Indie']",110.95,['English'],1,0,1.0,0.7577941485517765
5165,ISLANDS: Non-Places,"17 Nov, 2016",Carl Burton,Carlburton Llc,"['Casual', 'Indie']",18.5,['English'],0,0,1.0,0.7676618671566293
5166,Domino Sky,"5 Apr, 2016",Russpuppy,Russpuppy,"['Casual', 'Indie', 'Simulation', 'Strategy']",14.5,['English'],0,0,1.0,0.7663151484965082
5167,Legend of Homebody,"8 Jul, 2021",疯王子,CrazyPrince,"['Casual', 'Indie', 'Simulation']",21.95,"['English', 'Traditional Chinese', 'Simplified Chinese']",0,0,1.0,0.7670536927453893
5168,Agatha Christie - Hercule Poirot: The First Cases,"27 Sep, 2021",Blazing Griffin,Microids,['Adventure'],92.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",1,0,1.0,0.759419940714098
5169,Starlight of Aeons,"8 Dec, 2017",Angels Blue Digital Entertainment,DigitalEZ,"['Adventure', 'Casual', 'Indie']",18.5,"['English', 'Simplified Chinese', 'Traditional Chinese']",1,0,1.0,0.7755640799402987
5170,Sweet House,"20 Jul, 2021",Bambuseae Games,Bambuseae Games,"['Casual', 'Indie']",7.25,"['English', 'Simplified Chinese', 'Traditional Chinese']",1,0,1.0,0.7497806341201114
5171,UnHolY DisAsTeR,"17 Mar, 2018",UnholY CreatioN,UnholY CreatioN,"['Action', 'Indie']",47.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",1,1,1.0,0.7643423001519496
5172,Steel Armor: Blaze of War,"5 Mar, 2015",Graviteam,Graviteam,"['Simulation', 'Strategy']",110.95,"['English', 'Russian']",1,0,1.0,0.7674158080517544
5173,Boiling Steel,"5 Mar, 2020",MIROWIN,MIROWIN,"['Action', 'Adventure', 'Indie', 'Simulation']",55.95,"['English', 'Russian']",0,0,1.0,0.7852868153418352
5174,Cargo! The Quest for Gravity,"21 Apr, 2011",Ice-Pick Lodge,Ice-Pick Lodge,"['Action', 'Adventure', 'Simulation']",36.95,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Russian', 'Polish']",0,0,1.0,0.7518792868045849
5175,Imperium Romanum Gold Edition,"30 Oct, 2008",Haemimont Games,Kalypso Media Digital,"['Simulation', 'Strategy']",36.95,"['English', 'French', 'German']",0,0,1.0,0.7728850306223708
5176,Super Star Path,"22 Jun, 2015",DYA Games,DYA Games,"['Action', 'Adventure', 'Indie']",17.95,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Portuguese', 'Spanish - Latin America']",1,0,1.0,0.7690305832561907
5177,One Hand Clapping,"14 Dec, 2021",Bad Dream Games,HandyGames,"['Adventure', 'Indie']",51.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish']",0,0,1.0,0.7853657467373982
5178,Karma. Incarnation 1,"19 Oct, 2016",AuraLab,Other Kind Games,"['Adventure', 'Casual', 'Indie']",18.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian']",0,0,1.0,0.7800210828430896
5179,OBEY,"12 May, 2020",Dez,"The Lo-Fi Apocalypse, Inc.","['Action', 'Indie', 'Strategy']",29.5,"['English', 'Spanish - Spain', 'Swedish', 'Russian', 'Turkish', 'German', 'Portuguese - Brazil', 'Czech', 'Dutch', 'Polish']",0,0,0.0,0.7913856554482833
5180,Seven Kingdoms 2 HD,"4 Feb, 2015",Enlight Software Limited,Enlight Software Limited,"['Indie', 'Simulation', 'Strategy']",36.95,['English'],0,0,1.0,0.743740191748364
5181,Toadled,"22 Sep, 2016",Giant Fox Studios,Giant Fox Studios,"['Action', 'Casual', 'Indie']",3.5,['English'],0,0,1.0,0.7876619084776028
5182,Ayahuasca,"15 Jan, 2020",Small Studio by Mac Guff,Atlas V,['Indie'],47.95,"['English', 'French', 'Korean', 'Simplified Chinese', 'Spanish - Spain', 'Portuguese']",0,0,1.0,0.75462636608378
5183,Precipice,"1 May, 2019","LRDGames, Inc.","LRDGames, Inc.","['Indie', 'Simulation', 'Strategy']",29.5,['English'],0,0,1.0,0.7607252011995591
5184,Pixel Gladiator,"8 Sep, 2017",Flying Islands Team,Flying Islands Team,"['Action', 'Indie']",18.5,"['English', 'Russian', 'Simplified Chinese', 'Ukrainian', 'French', 'Italian', 'Spanish - Spain', 'German']",1,0,1.0,0.765765858191569
5185,Achievement Idler: Black,"13 Apr, 2018",IHM Studio,IHM Studio,['Casual'],3.5,['English'],0,0,1.0,0.7599851179517917
5186,Eiyu*Senki Gold – A New Conquest,"25 Jun, 2021",Tenco,JAST USA,"['Adventure', 'RPG', 'Strategy']",131.95,"['English', 'Japanese', 'Simplified Chinese']",0,1,1.0,0.7640344061441353
5187,Front Office Football Eight,"23 Nov, 2016",Solecismic Software,Solecismic Software,['Sports'],110.95,['English'],0,0,1.0,0.7620043190056686
5188,Animal Fight Club,"19 Apr, 2019",Marco Amadei,Corvostudio di Amadei Marco,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy']",14.5,"['English', 'Italian', 'Spanish - Spain', 'Traditional Chinese', 'Japanese', 'Russian']",1,0,1.0,0.7568698053956588
5189,My name is You and it's the only unusual thing in my life,"17 Apr, 2017",Nikita Kaf,Missing Calm,"['Free to Play', 'Indie']",10.95,"['English', 'Russian']",0,0,1.0,0.8080180289808573
5190,NationWar2:Chronicle,"10 Dec, 2020",Yiming,Yiming,"['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",58.95,"['English', 'Simplified Chinese', 'Traditional Chinese']",0,0,1.0,0.7773512862860285
5191,Indie Pogo,"10 Jul, 2018",Lowe Bros. Studios LLC,Lowe Bros. Studios LLC,"['Action', 'Indie']",55.95,['English'],1,0,1.0,0.798291682473021
5192,Sword and Fairy 3 Ex,"6 Aug, 2004",SOFTSTAR TECHNOLOGY(SHANGHAI),SOFTSTAR ENTERTAINMENT,['RPG'],29.5,"['English', 'Simplified Chinese', 'Traditional Chinese']",1,0,1.0,0.7591993437191304
5193,Ballistic Tanks,"20 Sep, 2016",Kirklight Games,Kirklight Games,"['Action', 'Casual', 'Indie']",18.5,['English'],0,0,1.0,0.7719270672942666
5194,SPACERIFT: Arcanum System,"17 Dec, 2020",Arcanum Team,Arcanum Team,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Early Access']",58.95,"['English', 'Russian', 'Ukrainian']",0,0,0.0,0.7674413017072854
5195,King's Quest™ Collection,"1 Sep, 2006",Sierra,Activision,['Adventure'],70.18,['English'],0,0,1.0,0.7707580063357227
5196,Aeon's End,"17 Sep, 2019",Handelabra Games Inc.,Handelabra Games Inc.,"['Adventure', 'Indie', 'Strategy']",55.95,['English'],1,0,1.0,0.7675748393577277
5197,For The Warp,"27 Mar, 2020",Massive Galaxy Studios,Massive Galaxy Studios,"['Indie', 'Strategy', 'Early Access']",55.95,['English'],1,0,1.0,0.7710477837517009
5198,巴伦西亚传说：索菲亚的重生 Valencia Saga:Sophia's rebirth,"30 Sep, 2018",清之鸣,清之鸣,"['RPG', 'Simulation', 'Strategy']",25.95,"['English', 'Simplified Chinese']",0,0,1.0,0.7599137098742752
5199,Hunting Unlimited 2010,"7 Jul, 2009",SCS Software,Ziggurat,"['Simulation', 'Sports']",36.95,['English'],0,0,1.0,0.7540887335617955
5200,Age of Wonders II: The Wizard's Throne,Oct 2010,Triumph Studios,Paradox Interactive,"['RPG', 'Strategy']",35.16,['English'],0,0,1.0,0.7504068238915348
5201,iZBOT,"1 Sep, 2015",Ruxar,Ruxar,"['Action', 'Indie']",41.95,['English'],0,0,1.0,0.7674413017072854
